Thu, 2013.02.21 7:00, 7:00, CHF, medium, Trade Balance, 0.90B, 1.74B, 2.13B
Mon, 2013.11.25 16:30, 16:30, CHF, high, SNB Chairman Jordan Speaks, , , 
Mon, 2013.11.25 21:15, 21:15, EUR, medium, German Buba President Weidmann Speaks, , , 
Mon, 2013.11.25 22:15, 22:15, AUD, medium, RBA Deputy Gov Lowe Speaks, , , 
Mon, 2013.11.25 23:50, 23:50, JPY, medium, Monetary Policy Meeting Minutes, , , 
Mon, 2013.11.25 23:50, 23:50, JPY, low, SPPI y/y, 0.7%, 0.9%, 0.8%
Tue, 2013.11.26 10:00, 10:00, GBP, high, Monetary Policy Report Hearings, , , 
Tue, 2013.11.26 10:00, 10:00, USD, low, Building Permits, 0.93M, 0.94M, 0.97M
Tue, 2013.11.26 13:30, 13:30, CAD, low, Corporate Profits q/q, -0.8%, , 1.5%
Tue, 2013.11.26 13:30, 13:30, USD, high, Building Permits, 0.97M, 0.94M, 1.03M
Tue, 2013.11.26 14:00, 14:00, USD, medium, S&P/CS Composite-20 HPI y/y, 12.8%, 13.0%, 13.3%
Tue, 2013.11.26 14:00, 14:00, USD, low, HPI m/m, 0.4%, 0.5%, 0.3%
Tue, 2013.11.26 14:59, 14:59, USD, low, Richmond Manufacturing Index, 1, 3, 13
Tue, 2013.11.26 15:00, 15:00, USD, high, CB Consumer Confidence, 72.4, 72.2, 70.4
Tue, 2013.11.26 21:45, 21:45, NZD, high, Trade Balance, -216M, -345M, -168M
Wed, 2013.11.27 0:30, 0:30, AUD, medium, Construction Work Done q/q, 0.1%, 0.6%, 2.7%
Wed, 2013.11.27 7:00, 7:00, CHF, low, UBS Consumption Indicator, 1.56, , 1.28
Wed, 2013.11.27 9:00, 9:00, EUR, medium, German GfK Consumer Climate, 7.1, 7.1, 7.4
Wed, 2013.11.27 9:30, 9:30, GBP, high, Second Estimate GDP q/q, 0.8%, 0.8%, 0.8%
Wed, 2013.11.27 9:30, 9:30, GBP, medium, Prelim Business Investment q/q, -2.7%, 2.3%, 1.4%
Wed, 2013.11.27 9:30, 9:30, GBP, low, Index of Services 3m/3m, 0.6%, 0.4%, 0.7%
Wed, 2013.11.27 10:33, 10:33, EUR, medium, German 10-y Bond Auction, 1.71|1.7, , 1.69|1.7
Wed, 2013.11.27 11:00, 11:00, EUR, low, ECB Financial Stability Review, , , 
Wed, 2013.11.27 11:00, 11:00, GBP, medium, CBI Realized Sales, 2, 12, 1
Wed, 2013.11.27 13:30, 13:30, USD, high, Core Durable Goods Orders m/m, -0.2%, 0.5%, -0.1%
Wed, 2013.11.27 13:30, 13:30, USD, high, Unemployment Claims, 326K, 331K, 316K
Wed, 2013.11.27 13:30, 13:30, USD, medium, Durable Goods Orders m/m, 3.8%, -1.5%, -2.0%
Wed, 2013.11.27 14:45, 14:45, USD, medium, Chicago PMI, 65.9, 60.6, 63.0
Wed, 2013.11.27 14:55, 14:55, USD, medium, Revised UoM Consumer Sentiment, 72.0, 73.1, 75.1
Wed, 2013.11.27 14:55, 14:55, USD, low, Revised UoM Inflation Expectations, 3.1%, , 2.9%
Wed, 2013.11.27 15:00, 15:00, USD, low, CB Leading Index m/m, 0.9%, 0.1%, 0.2%
Wed, 2013.11.27 15:30, 15:30, USD, medium, Crude Oil Inventories, 0.4M, 0.5M, 3.0M
Thu, 2013.11.28 5:00, 5:00, USD, low, Natural Gas Storage, -45B, -11B, -13B
Wed, 2013.11.27 23:50, 23:50, JPY, medium, Retail Sales y/y, 3.0%, 2.2%, 2.3%
Thu, 2013.11.28 0:00, 0:00, AUD, medium, HIA New Home Sales m/m, 6.4%, , -3.8%
Thu, 2013.11.28 0:00, 0:00, NZD, high, ANZ Business Confidence, 53.2, , 60.5
Thu, 2013.11.28 0:30, 0:30, AUD, high, Private Capital Expenditure q/q, 1.6%, -1.1%, 3.6%
Thu, 2013.11.28 6:45, 6:45, CHF, medium, GDP q/q, 0.5%, 0.5%, 0.5%
Thu, 2013.11.28 7:00, 7:00, EUR, low, German Import Prices m/m, 0.0%, -0.2%, -0.7%
Thu, 2013.11.28 5:00, 5:00, EUR, medium, German Prelim CPI m/m, -0.2%, 0.1%, 0.2%
Thu, 2013.11.28 8:00, 8:00, EUR, medium, Spanish Flash CPI y/y, -0.1%, 0.1%, 0.2%
Thu, 2013.11.28 8:55, 8:55, EUR, medium, German Unemployment Change, 3K, 0K, 10K
Thu, 2013.11.28 9:00, 9:00, EUR, medium, M3 Money Supply y/y, 2.0%, 1.8%, 1.4%
Thu, 2013.11.28 9:00, 9:00, EUR, low, Private Loans y/y, -2.0%, -1.9%, -2.1%
Thu, 2013.11.28 9:10, 9:10, EUR, low, Retail PMI, 47.7, , 48.0
Thu, 2013.11.28 10:10, 10:10, EUR, medium, Italian 10-y Bond Auction, 4.11|1.5, , 4.01|1.5
Thu, 2013.11.28 10:30, 10:30, GBP, high, BOE Gov Carney Speaks, , , 
Thu, 2013.11.28 10:30, 10:30, GBP, medium, BOE Financial Stability Report, , , 
Thu, 2013.11.28 10:30, 10:30, GBP, low, FPC Statement, , , 
Thu, 2013.11.28 10:33, 10:33, GBP, low, 30-y Bond Auction, 3.74|1.5, , 3.61|1.7
Thu, 2013.11.28 5:00, 5:00, USD, holiday, Bank Holiday, , , 
Thu, 2013.11.28 13:30, 13:30, CAD, medium, Current Account, -15.9B, -14.3B, -15.5B
Thu, 2013.11.28 13:30, 13:30, CAD, medium, RMPI m/m, -1.2%, -2.1%, -2.3%
Thu, 2013.11.28 13:30, 13:30, CAD, low, IPPI m/m, -0.2%, -0.3%, -0.3%
Thu, 2013.11.28 21:45, 21:45, NZD, medium, Building Consents m/m, 1.4%, , -0.6%
Thu, 2013.11.28 23:15, 23:15, JPY, low, Final Manufacturing PMI, 54.2, , 55.1
Thu, 2013.11.28 23:30, 23:30, JPY, medium, Household Spending y/y, 3.7%, 1.2%, 0.9%
Thu, 2013.11.28 23:30, 23:30, JPY, medium, Tokyo Core CPI y/y, 0.3%, 0.4%, 0.6%
Thu, 2013.11.28 23:30, 23:30, JPY, low, National Core CPI y/y, 0.7%, 0.9%, 0.9%
Thu, 2013.11.28 23:30, 23:30, JPY, low, Unemployment Rate, 4.0%, 3.9%, 4.0%
Thu, 2013.11.28 23:50, 23:50, JPY, medium, Prelim Industrial Production m/m, 1.5%, 2.1%, 0.5%
Fri, 2013.11.29 0:05, 0:05, GBP, low, GfK Consumer Confidence, -11, -8, -12
Fri, 2013.11.29 0:30, 0:30, AUD, medium, Private Sector Credit m/m, 0.3%, 0.4%, 0.3%
Fri, 2013.11.29 17:00, 17:00, JPY, low, Housing Starts y/y, 19.4%, 5.5%, 7.1%
Fri, 2013.11.29 7:00, 7:00, EUR, medium, German Retail Sales m/m, -0.6%, 0.5%, -0.8%
Fri, 2013.11.29 7:00, 7:00, GBP, medium, Nationwide HPI m/m, 1.0%, 0.6%, 0.6%
Fri, 2013.11.29 7:45, 7:45, EUR, medium, French Consumer Spending m/m, -0.1%, 0.3%, -0.2%
Fri, 2013.11.29 8:00, 8:00, CHF, medium, KOF Economic Barometer, 1.71, 1.82, 1.85
Fri, 2013.11.29 9:00, 9:00, EUR, low, Italian Monthly Unemployment Rate, 12.5%, 12.5%, 12.5%
Fri, 2013.11.29 9:00, 9:00, EUR, low, Italian Quarterly Unemployment Rate, 12.1%, 12.2%, 12.3%
Fri, 2013.11.29 9:30, 9:30, GBP, medium, Net Lending to Individuals m/m, 2.2B, 2.1B, 1.7B
Fri, 2013.11.29 9:30, 9:30, GBP, low, M4 Money Supply m/m, 0.5%, 1.1%, 0.1%
Fri, 2013.11.29 9:30, 9:30, GBP, low, Mortgage Approvals, 67K, 68K, 68K
Fri, 2013.11.29 10:00, 10:00, EUR, high, CPI Flash Estimate y/y, 0.7%, 0.8%, 0.9%
Fri, 2013.11.29 10:00, 10:00, EUR, medium, Core CPI Flash Estimate y/y, 0.8%, , 1.0%
Fri, 2013.11.29 10:00, 10:00, EUR, medium, Unemployment Rate, 12.2%, 12.2%, 12.1%
Fri, 2013.11.29 10:00, 10:00, EUR, low, Italian Prelim CPI m/m, -0.2%, 0.2%, -0.4%
Fri, 2013.11.29 13:30, 13:30, CAD, high, GDP m/m, 0.3%, 0.1%, 0.3%
Mon, 2013.12.02 17:30, 17:30, AUD, low, Commodity Prices y/y, -0.5%, , -1.9%
Mon, 2013.12.02 8:15, 8:15, EUR, medium, Spanish Manufacturing PMI, 50.9, 51.3, 48.6
Mon, 2013.12.02 8:30, 8:30, CHF, medium, Manufacturing PMI, 54.2, 55.1, 56.5
Mon, 2013.12.02 8:45, 8:45, EUR, medium, Italian Manufacturing PMI, 50.7, 51.4, 51.4
Mon, 2013.12.02 8:50, 8:50, EUR, low, French Final Manufacturing PMI, 47.8, 47.8, 48.4
Mon, 2013.12.02 8:55, 8:55, EUR, low, German Final Manufacturing PMI, 52.5, 52.5, 52.7
Mon, 2013.12.02 9:00, 9:00, EUR, low, Final Manufacturing PMI, 51.5, 51.5, 51.6
Mon, 2013.12.02 9:30, 9:30, GBP, high, Final Manufacturing PMI, 56.5, 56.5, 58.4
Mon, 2013.12.02 13:30, 13:30, USD, high, Fed Chairman Bernanke Speaks, , , 
Mon, 2013.12.02 14:00, 14:00, USD, low, Final Manufacturing PMI, 54.3, 54.3, 54.7
Mon, 2013.12.02 14:30, 14:30, CAD, low, Manufacturing PMI, 55.6, , 55.3
Mon, 2013.12.02 14:30, 14:30, USD, low, Construction Spending m/m, 0.6%, 0.5%, -0.3%
Mon, 2013.12.02 15:00, 15:00, USD, high, ISM Manufacturing PMI, 56.4, 55.2, 57.3
Mon, 2013.12.02 15:00, 15:00, USD, low, Construction Spending m/m, -0.3%, 0.4%, 0.8%
Mon, 2013.12.02 15:00, 15:00, USD, low, ISM Manufacturing Prices, 55.5, 55.0, 52.5
Mon, 2013.12.02 23:50, 23:50, JPY, low, Monetary Base y/y, 45.8%, 47.2%, 52.5%
Tue, 2013.12.03 0:00, 0:00, NZD, low, ANZ Commodity Prices m/m, 1.4%, , -0.4%
Tue, 2013.12.03 0:01, 0:01, GBP, medium, BRC Retail Sales Monitor y/y, 0.8%, , 0.6%
Tue, 2013.12.03 0:30, 0:30, AUD, high, Retail Sales m/m, 0.9%, 0.4%, 0.5%
Tue, 2013.12.03 0:30, 0:30, AUD, medium, Current Account, -12.1B, -11.1B, -12.7B
Tue, 2013.12.03 1:00, 1:00, CNY, medium, Non-Manufacturing PMI, 56.3, , 56.0
Tue, 2013.12.03 1:30, 1:30, JPY, medium, Average Cash Earnings y/y, -0.2%, 0.1%, 0.1%
Tue, 2013.12.03 3:30, 3:30, AUD, high, Cash Rate, 2.50%, 2.50%, 2.50%
Tue, 2013.12.03 3:30, 3:30, AUD, high, RBA Rate Statement, , , 
Tue, 2013.12.03 8:00, 8:00, EUR, high, Spanish Unemployment Change, 87.0K, 49.3K, -2.5K
Tue, 2013.12.03 9:30, 9:30, GBP, high, Construction PMI, 59.4, 59.3, 62.6
Tue, 2013.12.03 9:30, 9:30, GBP, low, FPC Meeting Minutes, , , 
Tue, 2013.12.03 10:00, 10:00, EUR, low, PPI m/m, 0.2%, -0.1%, -0.5%
Tue, 2013.12.03 13:30, 13:30, NZD, low, GDT Price Index, 0.1%, , 3.9%
Tue, 2013.12.03 15:00, 15:00, USD, low, IBD/TIPP Economic Optimism, 41.4, 43.2, 43.1
Tue, 2013.12.03 5:00, 5:00, USD, low, Total Vehicle Sales, 15.2M, 15.8M, 16.4M
Tue, 2013.12.03 22:10, 22:10, AUD, low, AIG Services Index, 47.9, , 48.9
Wed, 2013.12.04 0:01, 0:01, GBP, low, BRC Shop Price Index y/y, -0.5%, , -0.3%
Wed, 2013.12.04 0:30, 0:30, AUD, high, GDP q/q, 0.7%, 0.7%, 0.6%
Wed, 2013.12.04 1:45, 1:45, CNY, medium, Caixin Services PMI, 52.6, , 52.5
Wed, 2013.12.04 8:15, 8:15, EUR, medium, Spanish Services PMI, 49.6, 50.7, 51.5
Wed, 2013.12.04 8:45, 8:45, EUR, medium, Italian Services PMI, 50.5, 51.2, 47.2
Wed, 2013.12.04 8:50, 8:50, EUR, low, French Final Services PMI, 48.8, 48.8, 48.0
Wed, 2013.12.04 8:55, 8:55, EUR, low, German Final Services PMI, 54.5, 54.5, 55.7
Wed, 2013.12.04 9:00, 9:00, EUR, low, Final Services PMI, 50.9, 50.9, 51.2
Wed, 2013.12.04 5:00, 5:00, All, low, OPEC Meetings, , , 
Wed, 2013.12.04 9:30, 9:30, GBP, high, Final Services PMI, 62.5, 62.1, 60.0
Wed, 2013.12.04 10:00, 10:00, EUR, medium, Retail Sales m/m, -0.6%, 0.2%, -0.2%
Wed, 2013.12.04 10:00, 10:00, EUR, low, Revised GDP q/q, 0.1%, 0.1%, 0.1%
Wed, 2013.12.04 13:15, 13:15, USD, high, ADP Non-Farm Employment Change, 184K, 172K, 215K
Wed, 2013.12.04 13:30, 13:30, CAD, high, Trade Balance, -0.3B, -0.7B, 0.1B
Wed, 2013.12.04 13:30, 13:30, USD, high, Trade Balance, -43.0B, -40.3B, -40.6B
Wed, 2013.12.04 14:00, 14:00, USD, low, Final Services PMI, 57.1, 57.1, 55.9
Wed, 2013.12.04 14:00, 14:00, USD, low, New Home Sales, 379K, 427K, 354K
Wed, 2013.12.04 15:00, 15:00, CAD, high, BOC Rate Statement, , , 
Wed, 2013.12.04 15:00, 15:00, CAD, high, Overnight Rate, 1.00%, 1.00%, 1.00%
Wed, 2013.12.04 15:00, 15:00, USD, high, ISM Services PMI, 55.4, 55.4, 53.9
Wed, 2013.12.04 15:00, 15:00, USD, high, New Home Sales, 354K, 432K, 444K
Wed, 2013.12.04 15:30, 15:30, USD, medium, Crude Oil Inventories, 3.0M, -0.5M, -5.6M
Wed, 2013.12.04 16:20, 16:20, USD, low, President Obama Speaks, , , 
Wed, 2013.12.04 19:00, 19:00, USD, medium, Beige Book, , , 
Thu, 2013.12.05 0:30, 0:30, AUD, high, Trade Balance, -0.27B, -0.38B, -0.53B
Thu, 2013.12.05 3:45, 3:45, JPY, low, 10-y Bond Auction, 0.61|3.7, , 0.65|4.0
Thu, 2013.12.05 11:15, 11:15, GBP, high, Autumn Forecast Statement, , , 
Thu, 2013.12.05 12:00, 12:00, GBP, high, Asset Purchase Facility, 375B, 375B, 375B
Thu, 2013.12.05 12:00, 12:00, GBP, high, Official Bank Rate, 0.50%, 0.50%, 0.50%
Thu, 2013.12.05 12:30, 12:30, USD, low, Challenger Job Cuts y/y, -4.2%, , -20.6%
Thu, 2013.12.05 12:45, 12:45, EUR, high, Main Refinancing Rate, 0.25%, 0.25%, 0.25%
Thu, 2013.12.05 13:30, 13:30, CAD, high, Building Permits m/m, 4.1%, 1.2%, 7.4%
Thu, 2013.12.05 13:30, 13:30, EUR, high, ECB Press Conference, , , 
Thu, 2013.12.05 13:30, 13:30, USD, high, Prelim GDP q/q, 2.8%, 3.0%, 3.6%
Thu, 2013.12.05 13:30, 13:30, USD, high, Unemployment Claims, 321K, 328K, 298K
Thu, 2013.12.05 13:30, 13:30, USD, medium, Treasury Sec Lew Speaks, , , 
Thu, 2013.12.05 13:30, 13:30, USD, low, Prelim GDP Price Index q/q, 1.9%, 1.9%, 2.0%
Thu, 2013.12.05 15:00, 15:00, CAD, high, Ivey PMI, 62.8, 59.0, 53.7
Thu, 2013.12.05 15:00, 15:00, USD, medium, Factory Orders m/m, 1.8%, -0.9%, -0.9%
Thu, 2013.12.05 15:30, 15:30, USD, low, Natural Gas Storage, -13B, -141B, -162B
Thu, 2013.12.05 22:05, 22:05, AUD, low, AIG Construction Index, 54.4, , 55.2
Fri, 2013.12.06 17:00, 17:00, JPY, low, Leading Indicators, 109.2%, 109.9%, 109.9%
Fri, 2013.12.06 7:45, 7:45, EUR, low, French Gov Budget Balance, -80.8B, , -86.0B
Fri, 2013.12.06 7:45, 7:45, EUR, low, French Trade Balance, -5.6B, -5.1B, -4.7B
Fri, 2013.12.06 8:00, 8:00, CHF, medium, Foreign Currency Reserves, 435B, , 436B
Fri, 2013.12.06 8:00, 8:00, GBP, medium, Halifax HPI m/m, 1.3%, 0.8%, 1.1%
Fri, 2013.12.06 8:15, 8:15, CHF, high, CPI m/m, -0.1%, -0.2%, 0.0%
Fri, 2013.12.06 9:30, 9:30, GBP, medium, Consumer Inflation Expectations, 3.2%, , 3.6%
Fri, 2013.12.06 11:00, 11:00, EUR, medium, German Factory Orders m/m, 3.1%, -0.4%, -2.2%
Fri, 2013.12.06 13:30, 13:30, CAD, high, Employment Change, 13.2K, 12.3K, 21.6K
Fri, 2013.12.06 13:30, 13:30, CAD, high, Unemployment Rate, 6.9%, 6.9%, 6.9%
Fri, 2013.12.06 13:30, 13:30, CAD, medium, Labor Productivity q/q, 0.4%, 0.3%, 0.2%
Fri, 2013.12.06 13:30, 13:30, USD, high, Non-Farm Employment Change, 200K, 180K, 203K
Fri, 2013.12.06 13:30, 13:30, USD, high, Unemployment Rate, 7.3%, 7.2%, 7.0%
Fri, 2013.12.06 13:30, 13:30, USD, medium, Average Hourly Earnings m/m, 0.1%, 0.2%, 0.2%
Fri, 2013.12.06 13:30, 13:30, USD, medium, Core PCE Price Index m/m, 0.1%, 0.1%, 0.1%
Fri, 2013.12.06 13:30, 13:30, USD, medium, Personal Spending m/m, 0.2%, 0.3%, 0.3%
Fri, 2013.12.06 13:30, 13:30, USD, low, Personal Income m/m, 0.5%, 0.3%, -0.1%
Fri, 2013.12.06 14:55, 14:55, USD, high, Prelim UoM Consumer Sentiment, 75.1, 76.2, 82.5
Fri, 2013.12.06 14:55, 14:55, USD, low, Prelim UoM Inflation Expectations, 2.9%, , 3.0%
Fri, 2013.12.06 20:00, 20:00, USD, medium, FOMC Member Evans Speaks, , , 
Fri, 2013.12.06 20:00, 20:00, USD, low, Consumer Credit m/m, 16.3B, 14.6B, 18.2B
Sat, 2013.12.07 2:00, 2:00, JPY, high, BOJ Gov Kuroda Speaks, , , 
Mon, 2013.12.09 17:00, 17:00, JPY, low, Economy Watchers Sentiment, 51.8, 52.3, 53.5
Mon, 2013.12.09 6:45, 6:45, CHF, low, Unemployment Rate, 3.2%, 3.2%, 3.2%
Mon, 2013.12.09 7:00, 7:00, EUR, medium, German Trade Balance, 18.7B, 17.4B, 16.8B
Mon, 2013.12.09 8:15, 8:15, CHF, medium, Retail Sales y/y, 1.0%, 1.7%, 1.2%
Mon, 2013.12.09 9:30, 9:30, EUR, low, Sentix Investor Confidence, 9.3, 10.5, 8.0
Mon, 2013.12.09 5:00, 5:00, EUR, medium, Eurogroup Meetings, , , 
Mon, 2013.12.09 11:00, 11:00, EUR, medium, German Industrial Production m/m, -0.7%, 0.8%, -1.2%
Mon, 2013.12.09 13:13, 13:13, CAD, low, Housing Starts, 198K, 195K, 192K
Tue, 2013.12.10 5:15, 5:15, GBP, high, BOE Gov Carney Speaks, , , 
Mon, 2013.12.09 18:05, 18:05, USD, high, FOMC Member Bullard Speaks, , , 
Mon, 2013.12.09 23:50, 23:50, JPY, medium, BSI Manufacturing Index, 15.2, 17.2, 9.7
Mon, 2013.12.09 23:50, 23:50, JPY, medium, Tertiary Industry Activity m/m, 0.0%, 0.3%, -0.7%
Mon, 2013.12.09 23:50, 23:50, JPY, low, M2 Money Stock y/y, 4.1%, 4.3%, 4.3%
Tue, 2013.12.10 0:01, 0:01, GBP, low, RICS House Price Balance, 57%, 59%, 58%
Tue, 2013.12.10 0:30, 0:30, AUD, high, NAB Business Confidence, 6, , 5
Tue, 2013.12.10 0:30, 0:30, AUD, medium, Home Loans m/m, 3.5%, 1.3%, 1.0%
Tue, 2013.12.10 3:45, 3:45, JPY, low, 30-y Bond Auction, 1.62|4.4, , 1.70|4.2
Tue, 2013.12.10 17:00, 17:00, JPY, low, Consumer Confidence, 41.2, 44.2, 42.5
Tue, 2013.12.10 17:30, 17:30, CNY, high, Industrial Production y/y, 10.3%, 10.2%, 10.0%
Tue, 2013.12.10 17:30, 17:30, CNY, medium, Fixed Asset Investment ytd/y, 20.1%, 20.1%, 19.9%
Tue, 2013.12.10 17:30, 17:30, CNY, low, Retail Sales y/y, 13.3%, 13.2%, 13.7%
Tue, 2013.12.10 6:00, 6:00, JPY, low, Prelim Machine Tool Orders y/y, 8.4%, , 15.4%
Tue, 2013.12.10 7:45, 7:45, EUR, medium, French Industrial Production m/m, -0.3%, 0.2%, -0.3%
Tue, 2013.12.10 9:00, 9:00, EUR, low, Italian Industrial Production m/m, 0.2%, 0.3%, 0.5%
Tue, 2013.12.10 9:30, 9:30, GBP, high, Manufacturing Production m/m, 1.2%, 0.4%, 0.4%
Tue, 2013.12.10 9:30, 9:30, GBP, medium, Goods Trade Balance, -10.1B, -9.3B, -9.7B
Tue, 2013.12.10 9:30, 9:30, GBP, low, Industrial Production m/m, 0.9%, 0.4%, 0.4%
Tue, 2013.12.10 5:00, 5:00, EUR, medium, ECOFIN Meetings, , , 
Tue, 2013.12.10 12:00, 12:00, EUR, high, ECB President Draghi Speaks, , , 
Tue, 2013.12.10 12:30, 12:30, USD, low, NFIB Small Business Index, 91.6, 92.7, 92.5
Tue, 2013.12.10 15:00, 15:00, GBP, medium, NIESR GDP Estimate, 0.7%, , 0.8%
Tue, 2013.12.10 15:00, 15:00, USD, medium, JOLTS Job Openings, 3.88M, 3.96M, 3.93M
Tue, 2013.12.10 15:00, 15:00, USD, low, Final Wholesale Inventories m/m, 0.5%, 0.3%, 1.4%
Tue, 2013.12.10 15:30, 15:30, CAD, low, BOC Financial System Review, , , 
Tue, 2013.12.10 23:30, 23:30, AUD, medium, Westpac Consumer Sentiment, 1.9%, , -4.8%
Tue, 2013.12.10 23:50, 23:50, JPY, medium, Core Machinery Orders m/m, -2.1%, 0.9%, 0.6%
Tue, 2013.12.10 23:50, 23:50, JPY, low, PPI y/y, 2.5%, 2.7%, 2.7%
Wed, 2013.12.11 6:30, 6:30, EUR, low, French Final Private Payrolls q/q, -0.1%, -0.1%, -0.1%
Wed, 2013.12.11 7:00, 7:00, EUR, low, German Final CPI m/m, 0.2%, 0.2%, 0.2%
Wed, 2013.12.11 8:03, 8:03, CNY, medium, New Loans, 506B, 585B, 625B
Wed, 2013.12.11 8:03, 8:03, CNY, low, M2 Money Supply y/y, 14.3%, 14.2%, 14.2%
Wed, 2013.12.11 13:00, 13:00, GBP, medium, MPC Member Weale Speaks, , , 
Wed, 2013.12.11 15:00, 15:00, USD, medium, Treasury Sec Lew Speaks, , , 
Wed, 2013.12.11 15:30, 15:30, USD, medium, Crude Oil Inventories, -5.6M, -2.2M, -10.6M
Wed, 2013.12.11 18:01, 18:01, USD, medium, 10-y Bond Auction, 2.75|2.7, , 2.82|2.6
Wed, 2013.12.11 18:59, 18:59, USD, medium, Federal Budget Balance, -91.6B, -142.6B, -135.2B
Wed, 2013.12.11 20:00, 20:00, NZD, high, Official Cash Rate, 2.50%, 2.50%, 2.50%
Wed, 2013.12.11 20:00, 20:00, NZD, high, RBNZ Press Conference, , , 
Wed, 2013.12.11 20:00, 20:00, NZD, high, RBNZ Rate Statement, , , 
Wed, 2013.12.11 20:00, 20:00, NZD, medium, RBNZ Monetary Policy Statement, , , 
Wed, 2013.12.11 21:25, 21:25, NZD, low, REINZ HPI m/m, 1.6%, , 1.2%
Wed, 2013.12.11 21:45, 21:45, NZD, low, FPI m/m, -1.0%, , -0.2%
Thu, 2013.12.12 0:00, 0:00, AUD, medium, MI Inflation Expectations, 1.9%, , 2.1%
Thu, 2013.12.12 0:10, 0:10, NZD, high, RBNZ Gov Wheeler Speaks, , , 
Thu, 2013.12.12 0:30, 0:30, AUD, high, Employment Change, -0.7K, 10.3K, 21.0K
Thu, 2013.12.12 0:30, 0:30, AUD, high, Unemployment Rate, 5.7%, 5.8%, 5.8%
Thu, 2013.12.12 7:45, 7:45, EUR, low, French Final CPI m/m, -0.1%, 0.1%, 0.0%
Thu, 2013.12.12 8:00, 8:00, EUR, high, ECB President Draghi Speaks, , , 
Thu, 2013.12.12 8:30, 8:30, CHF, high, Libor Rate, <0.25%, <0.25%, <0.25%
Thu, 2013.12.12 8:30, 8:30, CHF, high, SNB Monetary Policy Assessment, , , 
Thu, 2013.12.12 9:00, 9:00, CHF, high, SNB Press Conference, , , 
Thu, 2013.12.12 9:00, 9:00, EUR, medium, ECB Monthly Bulletin, , , 
Thu, 2013.12.12 10:00, 10:00, EUR, medium, Industrial Production m/m, -0.2%, 0.4%, -1.1%
Thu, 2013.12.12 10:00, 10:00, GBP, low, CB Leading Index m/m, 1.7%, , 0.4%
Thu, 2013.12.12 13:30, 13:30, CAD, medium, NHPI m/m, 0.0%, 0.2%, 0.1%
Thu, 2013.12.12 13:30, 13:30, CAD, low, Capacity Utilization Rate, 81.1%, 81.1%, 81.7%
Thu, 2013.12.12 13:30, 13:30, USD, high, Core Retail Sales m/m, 0.5%, 0.2%, 0.4%
Thu, 2013.12.12 13:30, 13:30, USD, high, Retail Sales m/m, 0.6%, 0.6%, 0.7%
Thu, 2013.12.12 13:30, 13:30, USD, high, Unemployment Claims, 300K, 321K, 368K
Thu, 2013.12.12 13:30, 13:30, USD, medium, Import Prices m/m, -0.6%, -0.7%, -0.6%
Thu, 2013.12.12 15:00, 15:00, USD, medium, Business Inventories m/m, 0.6%, 0.4%, 0.7%
Thu, 2013.12.12 15:30, 15:30, USD, low, Natural Gas Storage, -162B, -85B, -81B
Fri, 2013.12.13 5:10, 5:10, NZD, medium, BusinessNZ Manufacturing Index, 55.9, , 56.7
Thu, 2013.12.12 18:01, 18:01, USD, low, 30-y Bond Auction, 3.81|2.2, , 3.90|2.3
Thu, 2013.12.12 18:05, 18:05, CAD, high, BOC Gov Poloz Speaks, , , 
Fri, 2013.12.13 4:30, 4:30, JPY, low, Revised Industrial Production m/m, 0.5%, 0.5%, 1.0%
Fri, 2013.12.13 7:00, 7:00, EUR, low, German WPI m/m, -1.0%, 0.4%, -0.2%
Fri, 2013.12.13 8:15, 8:15, CHF, medium, PPI m/m, -0.4%, 0.3%, -0.1%
Fri, 2013.12.13 9:30, 9:30, GBP, low, Construction Output m/m, -0.5%, 1.6%, 2.2%
Fri, 2013.12.13 10:00, 10:00, EUR, low, Final Employment Change q/q, 0.0%, 0.0%, 0.0%
Fri, 2013.12.13 12:30, 12:30, GBP, medium, MPC Member Dale Speaks, , , 
Fri, 2013.12.13 13:30, 13:30, USD, high, PPI m/m, -0.2%, 0.0%, -0.1%
Fri, 2013.12.13 13:30, 13:30, USD, medium, Core PPI m/m, 0.2%, 0.1%, 0.1%
Mon, 2013.12.16 8:00, 8:00, EUR, high, French Flash Manufacturing PMI, 48.4, 49.1, 47.1
Mon, 2013.12.16 8:00, 8:00, EUR, medium, French Flash Services PMI, 48.0, 48.9, 47.4
Mon, 2013.12.16 8:30, 8:30, EUR, high, German Flash Manufacturing PMI, 52.7, 53.1, 54.2
Mon, 2013.12.16 8:30, 8:30, EUR, medium, German Flash Services PMI, 55.7, 55.2, 54.0
Mon, 2013.12.16 9:00, 9:00, EUR, medium, Flash Manufacturing PMI, 51.6, 51.9, 52.7
Mon, 2013.12.16 9:00, 9:00, EUR, medium, Flash Services PMI, 51.2, 51.5, 51.0
Mon, 2013.12.16 9:00, 9:00, EUR, low, Italian Trade Balance, 0.83B, 1.24B, 4.07B
Mon, 2013.12.16 10:00, 10:00, EUR, low, Trade Balance, 12.4B, 15.2B, 14.5B
Mon, 2013.12.16 11:00, 11:00, EUR, medium, German Buba Monthly Report, , , 
Mon, 2013.12.16 13:30, 13:30, CAD, medium, Foreign Securities Purchases, 8.29B, 9.24B, 4.41B
Mon, 2013.12.16 13:30, 13:30, USD, medium, Empire State Manufacturing Index, -2.2, 4.9, 1.0
